 ,Leads, , ,Appointment, , ,Sold, , , ,Gross, ,
Group,Leads,Contact,Percent,Booked,Show,Sold,Units,Close Ratio,Trades,Days to Sell,Vehicle,Back End,Total
<No Source>,101,40,0.396039604,6,0,0,32,0.3168316832,10,3.71875,37429.87,20701.02,58130.89
BeBack,7,0,0,0,0,0,5,0.7142857143,0,1.2,-39.2,0,-39.2
Car Gurus,16,12,0.75,0,0,0,0,0,0,0,0,0,0
CarFAX FBA Lead,1,1,1,0,0,0,0,0,0,0,0,0,0
CarGurus - Autolist,1,1,1,0,0,0,0,0,0,0,0,0,0
Cars.com Shopper Alert,2,2,1,0,0,0,0,0,0,0,0,0,0
DC FMCC Prequal,6,5,0.8333333333,0,0,0,0,0,0,0,0,0,0
DC Parts,2,0,0,0,0,0,0,0,0,0,0,0,0
DC Parts - ADV search,2,0,0,0,0,0,0,0,0,0,0,0,0
DC Service - ADV search,5,4,0.8,0,0,0,0,0,0,0,0,0,0
DC Used Credit,1,1,1,0,0,0,0,0,0,0,0,0,0
DC Used Quote Ford - ADV search,17,15,0.8823529412,0,0,0,0,0,0,0,0,0,0
DC Used Quote Ford - ADV social,2,2,1,0,0,0,0,0,0,0,0,0,0
FC Commercial Credit App,1,0,0,0,0,0,0,0,0,0,0,0,0
Internet,18,10,0.5555555556,0,0,0,12,0.6666666667,9,2.416666667,21709.88,10876.61,32586.49
Internet Lead,6,6,1,0,0,0,0,0,0,0,0,0,0
Newspaper,1,0,0,0,0,0,1,1,0,2,1555.43,2582.46,4137.89
Phone Up,10,1,0.1,0,0,0,6,0.6,0,2.833333333,14050.54,8497.06,22547.6
Referral,5,2,0.4,0,0,0,2,0.4,0,2.5,5961.7,0,5961.7
Repeat,10,3,0.3,0,0,0,8,0.8,2,4.625,8541.64,11938.84,20480.48
TV New Trade-In Lead,2,2,1,0,0,0,0,0,0,0,0,0,0
TV Service,1,0,0,0,0,0,0,0,0,0,0,0,0
TV Service Coupon,5,0,0,0,0,0,0,0,0,0,0,0,0
Walk In,32,7,0.21875,0,0,0,14,0.4375,3,2.642857143,21389.78,9600.04,30989.82
z AutoTrader.com,63,54,0.8571428571,0,0,0,1,0.01587301587,0,10,1966.6,0,1966.6
z Cars.com,35,32,0.9142857143,2,0,0,2,0.05714285714,0,2.5,1122.89,1266.43,2389.32
z Chat-Dealer Website - ADV search,4,3,0.75,0,0,0,1,0.25,1,1,1786.88,2965.38,4752.26
z FordDirect - Used Lead,4,3,0.75,0,0,0,0,0,0,0,0,0,0
zz CARFAX,11,8,0.7272727273,0,0,0,0,0,0,0,0,0,0
zz CarGurus Pre-Qualified,1,1,1,0,0,0,0,0,0,0,0,0,0
zz CarNow,19,17,0.8947368421,0,0,0,0,0,0,0,0,0,0
zz Chat-Dealer Website,12,11,0.9166666667,0,0,0,0,0,0,0,0,0,0
zz DC Contact Us - ADV search,2,2,1,0,0,0,0,0,0,0,0,0,0
zz DC Contact Us Sales,2,2,1,0,0,0,0,0,0,0,0,0,0
zz DC Contact Us Sales - ADV search,1,1,1,0,0,0,0,0,0,0,0,0,0
zz DC New Quote Ford,7,7,1,1,0,0,2,0.2857142857,0,14.5,2951.4,1245.29,4196.69
zz DC New Quote Ford - ADV search,2,2,1,0,0,0,0,0,0,0,0,0,0
zz DC New Quote Ford - GMB,1,1,1,0,0,0,0,0,0,0,0,0,0
zz DC Service,13,7,0.5384615385,0,0,0,0,0,0,0,0,0,0
zz DC Used Quote Ford,22,22,1,2,0,0,0,0,0,0,0,0,0
zz FD - OEM Credit,1,1,1,0,0,0,0,0,0,0,0,0,0
zz FD - OEM Quick Quote,3,3,1,0,0,0,0,0,0,0,0,0,0
zz FD - Trade-In,4,4,1,0,0,0,0,0,0,0,0,0,0
zz FDAF - Lead,1,1,1,0,0,0,0,0,0,0,0,0,0
Total,462,296,0.6406926407,11,0,0,86,0.1861471861,25,3.453488372,118427.41,69673.13,188100.54
