 ,Leads, , ,Appointment, , ,Sold, , , ,Gross, ,
Group,Leads,Contact,Percent,Booked,Show,Sold,Units,Close Ratio,Trades,Days to Sell,Vehicle,Back End,Total
<No Source>,107,29,0.2710280374,1,0,0,31,0.2897196262,4,2.677419355,31006.53,34512.38,65518.91
BeBack,21,7,0.3333333333,0,0,0,13,0.619047619,3,2,10471.34,8351.56,18822.9
Car Gurus,20,13,0.65,0,0,0,1,0.05,1,0,3000,344.12,3344.12
CarFAX FBA Lead,1,0,0,0,0,0,0,0,0,0,0,0,0
Cars.com Shopper Alert,1,1,1,0,0,0,0,0,0,0,0,0,0
Chat-Dealer Website,9,4,0.4444444444,0,0,0,0,0,0,0,0,0,0
Chat-Dealer Website - GMB,1,0,0,0,0,0,0,0,0,0,0,0,0
DC Contact Us Sales - ADV search,1,0,0,0,0,0,0,0,0,0,0,0,0
DC FMCC Prequal,3,2,0.6666666667,0,0,0,0,0,0,0,0,0,0
DC Parts - ADV search,3,0,0,0,0,0,0,0,0,0,0,0,0
DC Service,7,3,0.4285714286,0,0,0,0,0,0,0,0,0,0
DC Service - ADV search,6,4,0.6666666667,0,0,0,0,0,0,0,0,0,0
DC Trade-In,7,5,0.7142857143,0,0,0,0,0,0,0,0,0,0
DealerON - Check Availability,2,0,0,0,0,0,0,0,0,0,0,0,0
Internet,2,0,0,0,0,0,0,0,0,0,0,0,0
DealerON - Get ePrice,7,6,0.8571428571,0,0,0,0,0,0,0,0,0,0
Internet,7,6,0.8571428571,0,0,0,0,0,0,0,0,0,0
DealerON - Trade-In,1,1,1,0,0,0,0,0,0,0,0,0,0
Internet,1,1,1,0,0,0,0,0,0,0,0,0,0
FC Commercial Credit App,1,0,0,0,0,0,0,0,0,0,0,0,0
First Watch - Back In Market,6,4,0.6666666667,0,0,0,0,0,0,0,0,0,0
FordPro Build and Price,1,1,1,0,0,0,0,0,0,0,0,0,0
Internet Lead,46,23,0.5,2,0,0,0,0,0,0,0,0,0
Internet,46,23,0.5,2,0,0,0,0,0,0,0,0,0
Kelley Blue Book,302,14,0.04635761589,1,0,0,0,0,0,0,0,0,0
Phone Up,11,4,0.3636363636,0,0,0,4,0.3636363636,0,1.75,4419.22,3108.12,7527.34
Referral,5,1,0.2,0,0,0,3,0.6,0,5,5108.44,4258.42,9366.86
Repeat,16,9,0.5625,0,0,0,11,0.6875,2,4,15881.45,6271.73,22153.18
RouteOne LLC,4,2,0.5,0,0,0,0,0,0,0,0,0,0
TV New Quote Ford,1,1,1,0,0,0,1,1,0,9,1432.65,2156.38,3589.03
TV New Trade-In Lead,5,4,0.8,0,0,0,0,0,0,0,0,0,0
TV Service Coupon,2,0,0,0,0,0,0,0,0,0,0,0,0
Walk In,4,3,0.75,0,0,0,3,0.75,1,0,3513.79,1097.5,4611.29
z AutoTrader.com,30,27,0.9,0,0,0,2,0.06666666667,0,2,2720.03,110.88,2830.91
z Cars.com,44,38,0.8636363636,1,1,0,0,0,0,0,0,0,0
z Chat-Dealer Website - ADV search,4,3,0.75,0,0,0,0,0,0,0,0,0,0
z DC Used Quote Ford - ADV search,12,11,0.9166666667,0,0,0,3,0.25,2,4,5118.61,6918.88,12037.49
z FordDirect - Used Lead,4,3,0.75,0,0,0,0,0,0,0,0,0,0
zz CARFAX,21,20,0.9523809524,0,0,0,1,0.04761904762,0,5,1528.32,1335.28,2863.6
zz CarNow,12,7,0.5833333333,0,0,0,0,0,0,0,0,0,0
zz DC Contact Us - ADV search,1,1,1,0,0,0,0,0,0,0,0,0,0
zz DC New Quote Ford,4,4,1,0,0,0,0,0,0,0,0,0,0
zz DC New Quote Ford - ADV search,2,2,1,0,0,0,0,0,0,0,0,0,0
zz DC New Quote Ford - ADV social,1,1,1,0,0,0,0,0,0,0,0,0,0
zz DC Used Quote Ford,12,7,0.5833333333,0,0,0,1,0.08333333333,0,2,2165.94,0,2165.94
zz E-Shop - Brand Site - Custom Order,1,0,0,0,0,0,0,0,0,0,0,0,0
zz FD - Credit Estimate,1,1,1,0,0,0,0,0,0,0,0,0,0
zz FD - OEM Build & Price,2,2,1,0,0,0,0,0,0,0,0,0,0
zz FD - OEM Quick Quote,3,3,1,0,0,0,0,0,0,0,0,0,0
zz FD - OEM Quick Quote FDAF,1,1,1,0,0,0,0,0,0,0,0,0,0
zz FD - OEM Search Inventory,1,1,1,0,0,0,0,0,0,0,0,0,0
zz FD - Trade-In,3,3,1,0,0,0,0,0,0,0,0,0,0
Total,760,276,0.3631578947,5,1,0,74,0.09736842105,13,2.797297297,86366.32,68465.25,154831.57
