,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Source,Total Leads,Good Leads,Bad Leads,Duplicate Leads,Bad Other Leads,Customers Influenced,Cox Auto Buying Signals,Sold in Timeframe,Sold in Timeframe %,Sold from Leads,Sold from Leads %,Avg Days to Sale,Internet Attempted Contact,Internet Attempted Contact %,Internet Actual Contact,Internet Actual Contact %,Internet Avg Attempts to Contact,Appts Set,Appts Set %,Appts Scheduled,Appts Scheduled %,Appts Confirmed,Appts Confirmed %,Appts Shown,Appts Shown %,Avg Days to Appt Set,Total Visits,Initial Visits,Be Back Visits,Avg Days to Initial Visit,Avg Days Initial Visit to Be Back,Total Front Gross,Avg Front Gross,Total Back Gross,Avg Back Gross,Total Gross,Avg Gross,Total Cost,Cost Per Good Lead,Cost Per Sold,Profit
ARONSON ADVERTISING,91,65,26,9,17,8,5,0,0.00%,0,0%,0,$65,100.00%,$25,38.46%,5.2,2,3.08%,1,1.54%,1,100.00%,0,0.00%,12,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
E-Shop - Dealer Site,53,25,28,22,6,17,7,2,8.00%,2,8%,3,$25,100.00%,$14,56.00%,3.5,4,16.00%,4,16.00%,0,0.00%,1,25.00%,1,1,$1,$0,$1,0,"$7,085.82","$3,542.91",$426.54,$213.27,"$7,512.36","$3,756.18",$0.00,$0.00,$0.00,"$7,512.36"
Cars.com,30,22,8,3,5,3,2,0,0.00%,0,0%,0,$22,100.00%,$10,45.45%,4.8,1,4.55%,1,4.55%,0,0.00%,0,0.00%,2,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
PHONE UP,29,26,3,0,3,0,0,6,23.08%,6,23%,1,$0,0.00%,$0,0.00%,0,4,15.38%,4,15.38%,2,50.00%,3,75.00%,1,16,$16,$0,$1,0,"$3,361.09",$560.18,"$4,221.49",$703.58,"$7,582.58","$1,263.76",$0.00,$0.00,$0.00,"$7,582.58"
Dealer.Com - Get Your Eprice,25,15,10,8,2,5,3,2,13.33%,1,7%,11,$15,100.00%,$10,66.67%,3.4,6,40.00%,5,33.33%,0,0.00%,1,20.00%,4,2,$2,$0,$11,0,-$402.76,-$201.38,$710.00,$355.00,$307.24,$153.62,$0.00,$0.00,$0.00,$307.24
Cargurus,22,17,5,5,0,4,0,0,0.00%,0,0%,0,$17,100.00%,$3,17.65%,1.3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Stellantis Digital Third Party,20,15,5,0,5,0,3,0,0.00%,0,0%,0,$15,100.00%,$5,33.33%,5,1,6.67%,1,6.67%,0,0.00%,0,0.00%,2,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Repeat Customer,14,14,0,0,0,0,3,2,14.29%,6,43%,0,$0,0.00%,$0,0.00%,0,2,14.29%,2,14.29%,2,100.00%,1,50.00%,2,7,$6,$1,$0,0,"$1,615.58",$807.79,"$4,010.98","$2,005.49","$5,626.56","$2,813.28",$0.00,$0.00,$0.00,"$5,626.56"
Kbb - Lead Driver - Dealer Website,14,5,9,7,2,7,2,0,0.00%,0,0%,0,$5,100.00%,$1,20.00%,1,1,20.00%,1,20.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Referral,13,12,1,0,1,0,2,2,16.67%,2,17%,1,$0,0.00%,$0,0.00%,0,4,33.33%,3,25.00%,1,33.33%,3,100.00%,1,7,$7,$0,$2,0,"$4,432.99","$2,216.50","$4,770.04","$2,385.02","$9,203.03","$4,601.52",$0.00,$0.00,$0.00,"$9,203.03"
Cars.Com Shopper Alert,11,0,11,10,1,7,0,0,0.00%,0,0%,0,$0,0.00%,$0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Service Dept,9,8,1,1,0,1,0,0,0.00%,0,0%,0,$0,0.00%,$0,0.00%,0,1,12.50%,1,12.50%,1,100.00%,0,0.00%,0,6,$6,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Facebook,6,5,1,1,0,1,0,0,0.00%,0,0%,0,$0,0.00%,$0,0.00%,0,1,20.00%,1,20.00%,0,0.00%,0,0.00%,0,1,$1,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
E-Shop - Dealer Website - Get E-Price,6,6,0,0,0,0,1,1,16.67%,1,17%,7,$6,100.00%,$3,50.00%,4.7,1,16.67%,1,16.67%,1,100.00%,0,0.00%,2,0,$0,$0,$0,0,-$881.00,-$881.00,"$1,460.00","$1,460.00",$579.00,$579.00,$0.00,$0.00,$0.00,$579.00
Finance Application - Dealer.Com Website,5,2,3,3,0,3,3,1,50.00%,1,50%,8,$2,100.00%,$2,100.00%,4,3,150.00%,3,150.00%,1,33.33%,1,33.33%,12,2,$2,$0,$5,0,"$1,337.98","$1,337.98",$0.00,$0.00,"$1,337.98","$1,337.98",$0.00,$0.00,$0.00,"$1,337.98"
Dealers WebSite,5,5,0,0,0,0,1,2,40.00%,1,20%,5,$1,100.00%,$1,100.00%,0,1,20.00%,0,0.00%,0,0.00%,0,0.00%,0,2,$2,$0,$0,0,"$5,926.27","$2,963.14",$62.13,$31.07,"$5,988.40","$2,994.20",$0.00,$0.00,$0.00,"$5,988.40"
Contact Courtesy Motors | New Chrysler Dodge Jeep Ram &Amp; Used Car Dealer Danville Il - Dealer.Com Website,3,1,2,1,1,1,1,0,0.00%,0,0%,0,$1,100.00%,$1,100.00%,4,1,100.00%,1,100.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Mozeus,3,1,2,0,2,0,0,0,0.00%,0,0%,0,$1,100.00%,$0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cars.Com Prequalified,2,1,1,1,0,1,0,0,0.00%,0,0%,0,$1,100.00%,$0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Cargurus - Autolist,1,1,0,0,0,0,0,0,0.00%,0,0%,0,$1,100.00%,$0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Dealer.Com - Email Friend Vehicle,1,1,0,0,0,0,0,0,0.00%,0,0%,0,$1,100.00%,$0,0.00%,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,$0,$0,$0,0,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
