Lead Source,Lead Type,Lead Status Type,Year,Make,Model,Lead Origination Date
AutoTrader.com,Internet,Lost,2024,Jeep,Grand Cherokee,07/01/2025 18:44 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/01/2025 21:40 tt
"Carfax, Inc",Internet,Lost,,,,07/02/2025 10:30 tt
Truecar/Perkspot,Internet,Lost,2023,Dodge,Charger,07/03/2025 22:35 tt
AutoTrader.com,Internet,Lost,2018,Jeep,Grand Cherokee,07/04/2025 12:41 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/05/2025 06:13 tt
Cargurus,Internet,Bad,2021,Alfa Romeo,Giulia,07/07/2025 19:12 tt
AutoTrader.com,Internet,Lost,2018,GMC,Sierra 1500,07/07/2025 21:12 tt
AutoTrader.com,Internet,Bad,2011,GMC,Sierra 2500HD,07/07/2025 23:24 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 14:12 tt
AutoTrader.com,Internet,Lost,,,,07/09/2025 08:28 tt
Truecar/Internet Brands,Internet,Lost,2023,Ford,Ranger,07/10/2025 07:37 tt
Dealeron,Internet,Bad,,,,07/10/2025 15:20 tt
Truecar/Truecar,Internet,Lost,2019,Lincoln,MKT,07/11/2025 04:23 tt
Accelerate Dr - Autotrader - Deal Events,Internet,Bad,2022,Dodge,Challenger,07/11/2025 13:53 tt
Truecar/Extended Network,Internet,Lost,2024,Chevrolet,Equinox,07/12/2025 10:28 tt
Cargurus,Internet,Lost,2011,GMC,Sierra 2500HD,07/12/2025 11:28 tt
Dealeron,Internet,Lost,,,,07/15/2025 15:01 tt
Dealeron - Get Eprice,Internet,Lost,2024,Jeep,Grand Cherokee,07/16/2025 22:05 tt
Gubagoo - Chat,Internet,Active,,,,07/17/2025 07:22 tt
Dealeron - Get Eprice,Internet,Bad,2024,Jeep,Grand Cherokee,07/17/2025 10:37 tt
"Carfax, Inc",Internet,Lost,,,,07/02/2025 14:39 tt
AutoTrader.com,Internet,Lost,2021,Jeep,Wrangler,07/03/2025 10:11 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/04/2025 16:26 tt
E-Shop - Dealer Site,Internet,Lost,2018,Jeep,Grand Cherokee,07/06/2025 01:58 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/07/2025 00:52 tt
"Carfax, Inc",Internet,Lost,2016,Lexus,RX 350,07/07/2025 07:06 tt
Cargurus,Internet,Lost,2021,Alfa Romeo,Giulia,07/07/2025 10:48 tt
"Carfax, Inc",Internet,Lost,2011,GMC,Sierra 2500HD,07/08/2025 13:41 tt
Dealeron,Internet,Lost,,,,07/09/2025 01:58 tt
AutoTrader.com,Internet,Lost,2020,Ram,1500,07/09/2025 12:12 tt
"Carfax, Inc",Internet,Lost,2018,GMC,Sierra 1500,07/10/2025 01:24 tt
AutoTrader.com,Internet,Bad,2022,Dodge,Challenger,07/11/2025 12:53 tt
AutoTrader.com,Internet,Sold,2018,Jeep,Grand Cherokee,07/11/2025 21:17 tt
Cargurus,Internet,Lost,2023,Jeep,Wrangler,07/12/2025 09:02 tt
AutoTrader.com,Internet,Sold,2018,Jeep,Grand Cherokee,07/12/2025 10:27 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/13/2025 19:16 tt
AutoTrader.com,Internet,Lost,2017,Jeep,Compass,07/14/2025 15:59 tt
AutoTrader.com,Internet,Lost,2020,Ram,1500,07/14/2025 20:04 tt
"Carfax, Inc",Internet,Active,2016,Lexus,RX 350,07/14/2025 20:22 tt
"Carfax, Inc",Internet,Lost,2018,Jeep,Grand Cherokee,07/20/2025 22:41 tt
